experiment,config_id,git_commit,dataset,regime,seed,split_id,nuisance,method_config,method,decision_config,metric_config,a,orientation,determinant,trace,exact_dfi,mc_crossing_frequency,mc_regret,mc_replicates,runtime_seconds_scenario,failure_status
experiment_2,6769fa59109e,4b2d4fe827362d76a3b96b1d750db958fb604613,appendix_A4_geometry,Sigma_1,82026,not_applicable,not_applicable,analytic_geometry,exact_geometry,"S=conv{(0,0),(-1,0)};b0=(1,0)",exact_DFI_radius_1;Monte_Carlo,4,Sigma_1,1.0,4.25,0.5,0.0231,0.0231,100000,0.011957750000874512,ok
experiment_2,6769fa59109e,4b2d4fe827362d76a3b96b1d750db958fb604613,appendix_A4_geometry,Sigma_2,82026,not_applicable,not_applicable,analytic_geometry,exact_geometry,"S=conv{(0,0),(-1,0)};b0=(1,0)",exact_DFI_radius_1;Monte_Carlo,4,Sigma_2,1.0,4.25,2.0,0.31046,0.31046,100000,0.010709540991229005,ok
experiment_2,6769fa59109e,4b2d4fe827362d76a3b96b1d750db958fb604613,appendix_A4_geometry,Sigma_1,82026,not_applicable,not_applicable,analytic_geometry,exact_geometry,"S=conv{(0,0),(-1,0)};b0=(1,0)",exact_DFI_radius_1;Monte_Carlo,16,Sigma_1,1.0,16.0625,0.25,5e-05,5e-05,100000,0.010190917004365474,ok
experiment_2,6769fa59109e,4b2d4fe827362d76a3b96b1d750db958fb604613,appendix_A4_geometry,Sigma_2,82026,not_applicable,not_applicable,analytic_geometry,exact_geometry,"S=conv{(0,0),(-1,0)};b0=(1,0)",exact_DFI_radius_1;Monte_Carlo,16,Sigma_2,1.0,16.0625,4.0,0.40212,0.40212,100000,0.011023999992175959,ok
experiment_2,6769fa59109e,4b2d4fe827362d76a3b96b1d750db958fb604613,appendix_A4_geometry,Sigma_1,82026,not_applicable,not_applicable,analytic_geometry,exact_geometry,"S=conv{(0,0),(-1,0)};b0=(1,0)",exact_DFI_radius_1;Monte_Carlo,64,Sigma_1,1.0,64.015625,0.125,0.0,0.0,100000,0.010594083010801114,ok
experiment_2,6769fa59109e,4b2d4fe827362d76a3b96b1d750db958fb604613,appendix_A4_geometry,Sigma_2,82026,not_applicable,not_applicable,analytic_geometry,exact_geometry,"S=conv{(0,0),(-1,0)};b0=(1,0)",exact_DFI_radius_1;Monte_Carlo,64,Sigma_2,1.0,64.015625,8.0,0.44901,0.44901,100000,0.010543999989749864,ok
